"","type","name","label","hint","required","relevant","appearance","constraint","constraint_message","choice_filter","calculation","kuid","repeat_count"
"303","select_one no_latrine","no_latrine_defecation","If you do not have access to a latrine, where do members of your household defecate?","Haddii aadan heysan musqulo, xagee ku saxarootaa?","true","selected(${latrine_access},'no_access')","","","","","",NA,""
"304","select_one dispose_waste","dispose_faeces","How do you dispose of children's faeces?","Sidee u tuurtaa ama isaga fogeysaa saxarada caruurta?","true","selected(${hh_children},""yes"")","","","","","",NA,""
"305","select_one dispose_waste","dispose_waste","How do you dispose of household waste?","Sidee u tuurtaa ama isaga fogeysaa qashinka guriga?","true","","","","","","",NA,""
"306","end_group","","","","","","","","","","",NA,""
"307","end_group","","","","","","","","","","",NA,""
"308","begin_group","G","Health","CAAFIMAADKA","","","","","","","",NA,""
"309","begin_group","access","Access and gaps","Access and gaps","","","","","","","",NA,""
"310","select_one yes_no","health_access","Are you currently able to access a health facility?","Ma aadi kartaa xarun caafimaad?","true","","","","","","",NA,""
"311","select_multiple no_health_access","no_health_access","If no, what is preventing you from accessing a health facility?","Haddii aadan heli karin xarun caafimaad, maxaa kuu diiday?","true","selected(${health_access},""no"")","","","","","",NA,""
"312","text","no_health_access_other","If other, please specify","Wax kale faldan, qeex:","","selected(${no_health_access},""other"")","","","","","",NA,""
"313","select_one health_source","health_source","If yes, what kind of facility is it?","Haddii aad heli kartid xarun caafimaad, sheeg ?","true","selected(${health_access},'yes')","","","","","",NA,""
"314","text","health_source_other","If other, please specify","Wax kale, fadlan qeex:","true","selected(${health_source},""other"")","","","","","",NA,""
"315","select_one time_dist1","dist_health_facility"," If you do have access to a healthcare facility, how long does it take you by foot to access it?","Imisa daqiiqad ayee kugu qaadaneysaa inaad gaartid goobta caafimaad kugu dhow","true","selected(${health_access},""yes"")","","","","","",NA,""
"316","select_multiple health_services ","health_services","What services are available in the facility?","Sheeg adeegyada laga heli karo xarunta?","true","selected(${health_access},""yes"")","","","","","",NA,""
"317","text","health_other","If other, please specify","Wax kale, fadlan qeex:","true","selected(${health_services},""other"")","","","","","",NA,""
"318","select_one y_n_dk","chw_visit","Have you received a visit from, or visited, a community health worker in the last 6 months?","6-dii bilood ee lasoo dhaafay, miyuu kusoo booqday ama adiga aad booqatay mid ka mid ah shaqaalaha caafimaadka bulshada?","true","","","","","","",NA,""
"319","select_one yes_no","health_pay","Do you pay for healthcare?","Adeega caafimaadka lacag ma dhiibtaa?","true","","","","","","",NA,""
"320","integer","health_price","Approximately how much did your household spend on healthcare in the last month? (write amount in USD)","Bishii lasoo dhaafay,  imisa (qiyaas ahaan) ayuu qoyskaaga u isticmaaley adeeg caafimaad? (Lacagta ku qor dollar ahaan)","true","selected(${health_pay},'yes')","",". >= 0 and . <= 10000","Not more than 10,000 USD","","",NA,""
"321","select_one increase_decrease","health_price_change","Has this amount changed in the last 6 months?","Ma is badashay cadadkaan 6 bilood ee lasoo dhaafay?","true","selected(${health_pay},'yes')","","","","","",NA,""
"322","end_group","","","","","","","","","","",NA,""
"323","begin_group","household_health","Health issues in the household","","","","","","","","",NA,""
"324","select_multiple health_issues","health_issues_child","There are ${children_0_4} children aged 0-4 in your household. Of these children, have any experienced any of the following issues in the last month?","Waxaad ii sheegtay in qoyskaaga joogaan ${children_0_4} caruur da'doodu tahay 0 ilaa 4 sano jir ah. Imisa ka mid ah caruurtaan ayaa ku dhacay mid ka mid ah xanuunadaan?","true","${males_0_6m}+${females_0_6m}+${males_6m_4y}+${females_6m_4y}>0","","not(selected(.,""none"") and (selected(.,""malaria"") or selected(.,""stomach_pain"") or selected(.,""wounds"") or selected(.,""breathing_problems"") or selected(.,""eye_infection"") or selected(.,""measles"") or selected(.,""awd"") or selected(.,""malnutrition"") or selected(.,""khat"") or selected(.,""fever"") or selected(.,""dontknow""))) and not(selected(.,""dontknow"") and (selected(.,""malaria"") or selected(.,""stomach_pain"") or selected(.,""wounds"") or selected(.,""breathing_problems"") or selected(.,""eye_infection"") or selected(.,""measles"") or selected(.,""awd"") or selected(.,""malnutrition"") or selected(.,""khat"") or selected(.,""fever"") or selected(.,""none"")))","Cannot select ""No issue"" or I donï¿½t know or I donï¿½t want to answer"" with any other option","","",NA,""
"325","select_one yes_no","access_child","Were you able to access a healthcare facility in response to this issue? ","Ma gaari kartay goobta caafimaad si aad u heshid adeeg caafimaad?","true","${males_0_6m}+${females_0_6m}+${males_6m_4y}+${females_6m_4y}>0 and not(selected(${health_issues_child},""none""))","","not(selected(., 'none'))","","","",NA,""
"326","select_multiple health_issues ","health_issues_adult","Has anyone above the age of 4 years in your household experienced any of the following issues in the last month?","Ma jiraa qof da'diisu ka weyn 4 sano tahay oo ku dhacay xanuunadaan bishii lasoo dhaafay?","true","","","not(selected(.,""none"") and (selected(.,""malaria"") or selected(.,""stomach_pain"") or selected(.,""wounds"") or selected(.,""breathing_problems"") or selected(.,""eye_infection"") or selected(.,""measles"") or selected(.,""awd"") or selected(.,""malnutrition"") or selected(.,""khat"") or selected(.,""fever"") or selected(.,""dontknow""))) and not(selected(.,""dontknow"") and (selected(.,""malaria"") or selected(.,""stomach_pain"") or selected(.,""wounds"") or selected(.,""breathing_problems"") or selected(.,""eye_infection"") or selected(.,""measles"") or selected(.,""awd"") or selected(.,""malnutrition"") or selected(.,""khat"") or selected(.,""fever"") or selected(.,""none"")))","Cannot select ""No issue"" or I donï¿½t know or I donï¿½t want to answer"" with any other option","","",NA,""
"327","select_one yes_no","access_adults","Were you able to access a healthcare facility in response to this issue? ","Ma gaari kartay goobta caafimaad si aad u heshid adeeg caafimaad?","true","not(selected(${health_issues_adult},""none""))","","not(selected(.,'none'))","","","",NA,""
"328","select_one health_satisfied","health_satisfied","Were you satisfied with the treatment you received at the healthcare facility?","Maku qanacsan tahay daawada/dabiibida aad ka heshay xarunta caafimaadka?","true","selected(${access_adults},""yes"")","","","","","",NA,""
"329","note","note_vaccines","There are ${children_vaccine_age} children aged 6 months to 15 years in the household. Of these children, how many have received the following vaccines?","Waxaa jira ${children_vaccine_age} caruur oo 6 bil ilaa 15 sano jir ah/. Haddaba imisa ka mid ah caruurtaan ayaa qaatay talaaladaan?","","${children_vaccine_age}>0","","","","","",NA,""
"330","begin group","vaccines","","","","","field-list","","","","",NA,""
"331","integer","measles","Measles","Jadeeco","true","${children_vaccine_age}>0","",".<= ${children_vaccine_age} and .>=0","Cannot exceed number of children aged 6 months-15 years","","",NA,""
"332","integer","polio","Polio","Dabeel","true","${children_vaccine_age}>0","",".<= ${children_vaccine_age} and .>=0","Cannot exceed number of children aged 6 months-15 years","","",NA,""
"333","integer","dtp","Diphtheria, Typhoid and Pertussis (DTP)","Xiiq dheer, Tiiifoow iyo Kix","true","${children_vaccine_age}>0","",".<= ${children_vaccine_age} and .>=0","Cannot exceed number of children aged 6 months-15 years","","",NA,""
"334","integer","bcg","BCG (Tuberculosis)","Tallaalka BCG ee Tiibishada","true","${children_vaccine_age}>0","",".<= ${children_vaccine_age} and .>=0","Cannot exceed number of children aged 6 months-15 years","","",NA,""
"335","end_group","vaccines","","","","","","","","","",NA,""
"336","select_one yes_no","vaccination_card","Is it possible to see a vaccination card? (Only select YES if you have physically seen the card/cards)","Ma i tusi kartaa kaarka tallaalka? (Jawaabtaan HAA dooro haddii xog-aruuriyaha la tuso kaarka tallaalka)","true","${measles}+${polio}+${dtp}+${bcg}>0","","","","","",NA,""
"337","select_one no_vaccination","no_vaccination","If some children did not receive vaccinations, what was the reason?","Haddii caruurta qaarkood aysan helin tallaalka, waa maxay sababaha?","true","${measles}<${children_vaccine_age} or ${dtp}<${children_vaccine_age} or ${polio}<${children_vaccine_age} or ${bcg}<${children_vaccine_age}","","","","","",NA,""
"338","end_group","","","","","","","","","","",NA,""
"339","end_group","","","","","","","","","","",NA,""
"340","begin_group","H","Nutrition","","","","","","","","",NA,""
"341","select_one y_n_dk","nutrition_access","Are you currently able to access nutrition assistance?","Ma jiraa qof qoyska ka tirsan oo ka helay adeegyadda nafaqada/nafaqeynta?","true","","","","","","",NA,""
"342","select_multiple nutrition_services","nutrition_service_available","Are any members of your household enrolled in the following nutrition services?","Qoyskaaga maka diiwaan gashan yihiin adeegyadaan nafaqo ee soo socda?","true","selected(${nutrition_access},""yes"")","","not(selected(.,""do_not_know"") and (selected(.,""sc"") or selected(.,""otp"") or selected(.,""tsfp"") or selected(.,""bsfp"") or selected(.,""wet_feeding"") or selected(.,""iycf"") or selected(.,""micronutrient_supplementation"") or selected(.,""none""))) and not(selected(.,""none"") and (selected(.,""sc"") or selected(.,""otp"") or selected(.,""tsfp"") or selected(.,""bsfp"") or selected(.,""wet_feeding"") or selected(.,""iycf"") or selected(.,""micronutrient_supplementation"") or selected(.,""do_not_know"")))","Cannot select ""Don't know"" with any other option","","",NA,""
"343","select_one time_dist1","nutrition_distance","How long by foot does it take you to access the nutrition facility?","Imisa ayee kugu qaadaneysaa inaad u lugeysid goobta kugu dhaw ee laga helo adeeg nafaqo?","true","selected(${nutrition_access},""yes"")","","","","","",NA,""
"344","select_one yes_no","received_baby_items_milk","Has your household received infant milk products in the last 6 months?","Qoyska ma helay caanaha dhallaanka 6-dii bil ee lasoo dhaafay?","true","${males_0_6m}+${females_0_6m}+${males_6m_4y}+${females_6m_4y}>0","","","","","",NA,""
"345","select_one child_feeding","child_feeding_6months","How are children under 6 months fed?","Sideee loo nuujiyaa/quudiyaa caruurta ka yar 6-da bil?","true","${males_0_6m}+${females_0_6m}>0","","","","","",NA,""
"346","select_one child_feeding","child_feeding_over6m","How are children 6 months to 2 years fed?","Sideee loo nuujiyaa/quudiyaa caruurta jirta 6 bil ilaa 2 sano?","true","${males_0_6m}+${females_0_6m}+${males_6m_4y}+${females_6m_4y}>0","","","","","",NA,""
"347","select_one yes_no","child_bf","Are any children between the age of 6 and 24 months who are receiving none or partial breastfeeding also being bottle-fed?","Ma jiraan caruur da'doodu tahay 6 bil ilaa 2 sano oo aan jiqin/nuugin naaska hooyada ama si goos-goos ah u jiqa/nuuga haddana dhalo/masaasad ku caba?","true","not(selected(${child_feeding_6months},'only_breastfed')) or not(selected(${child_feeding_over6m},'only_breastfed'))","","","","","",NA,""
"348","end_group","","","","","","","","","","",NA,""
"349","begin_group","I","Shelter and NFIs","Aqalka iyo Agabka aan cuntada aheyn","","","","","","","",NA,""
"350","integer","number_shelters","How many shelters does the household occupy in this location (0 if open air)?","Qoysku imisa aqal ayuu dagan yahay?","true","","",".<=10 and .>=0","Maximum 10","","",NA,""
"351","select_one shelter_type","type_shelter","What is the type of the main shelter?","Sheeg nooca aqalka ugu weyn/ ama aasaasiga ah?","true","","","not(${number_shelters} > 0 and selected(., 'open_air')) and not(${number_shelters} = 0 and not(selected(., 'open_air')))","Can only be ""open air"" if number occupied is 0, and cannot be open air if number occupied is greater than 0","","",NA,""
"352","text","type_shelter_other","if other, please specify","Wax kale, fadlan qeex","true","selected(${type_shelter},'other')","","","","","",NA,""
"353","begin_group","shelter_conditions","Shelter Conditions","Xaaladaha Hoyga","","not(selected(${type_shelter},'open_air'))","","","","","",NA,""
"354","integer","shelter_age","How old is your shelter in months? (enter 999 if unknown)","Aqalka ama guriga waa imisa sano jir? (ku qor 999 haddii aan la garan karin sanadka)","true","","","(.>=0 and.<=120) or .=999","maximum 10 years or 999 (unknown)","","",NA,""
"355","select_one yes_no","shelter_damage","Has your shelter been damaged in the last 3 months?","Hoyga/aqalka waxyeelo miyaa soo gaartay 3 bilood ee la soo dhaafay?","true","","","","","","",NA,""
"356","select_multiple shelter_damage","shelter_damage_how","If damaged, how?","Haddii uu burbur ka muuqdo, sheeg nooca burburka?","true","selected(${shelter_damage},'yes')","","not(selected(.,'total') and (selected(.,'other') or selected(.,'structural') or selected(.,'floor') or selected(.,'roof') or selected(.,'wall')))","Cannot select ""total damage"" and any other option","","",NA,""
"357","text","shelter_damage_how_other","if other, please specify","Wax kale, fadlan qeex","true","selected(${shelter_damage_how},'other')","","","","","",NA,""
"358","select_one yes_no","occupied_3months_above","Have you been occupying this shelter for longer than 3 months?","Hoygan/aqalkan ma waxaad dhegnayd in ka badan 3 bilood?","true","","","","","","",NA,""
"359","select_one yes_no","emergency_shelt_damage","If you have not been occupying this shelter for longer than 3 months, was your previous shelter damaged as the result of an emergency (conflict or natural disaster)?","Haddii aadan degnayn hoygan/aqalkan in ka badan 3 bilood, hoygaagii/aqalkaagii caadiga ahaa ma waxyeelo ayaa soo gaartay taasoo ka dhalatay xaalada deg dega ah (colaad, masiibooyin dabiici ah)?","true","selected(${occupied_3months_above},'no')","","","","","",NA,""
"360","select_multiple shelter_damage","emergency_shelt_damage_how","If your normal shelter has been damaged as a result of an emergency, how has it been damaged?","Haddii hoygaaga/aqalkaaga ay waxyeelo soo gaartay taasoo ka dhalatay xaalada deg dega ah, sidee buu u waxyeeloobay?","true","selected(${emergency_shelt_damage},'yes')","","not(selected(.,'total') and (selected(.,'other') or selected(.,'structural') or selected(.,'floor') or selected(.,'roof') or selected(.,'wall')))","Cannot select ""total damage"" and any other option","","",NA,""
"361","text","emergency_shelt_damage_how_other","if other, please specify","Wax kale, fadlan qeex","true","selected(${emergency_shelt_damage_how},'other')","","","","","",NA,""
"362","select_one yes_no","theft_shelter","Has there been any theft from the shelter in the last 6 months?","Tuug kuuso dhacay ma jiraa lixdii bil ee lasoo dhaafay?","true","selected(${occupied_3months_above},'yes')","","","","","",NA,""
"363","end_group","","","","","","","","","","",NA,""
"364","begin_group","materials","Shelter Materials","Qalabka/Agabka dhismaha hoyga","","not(selected(${type_shelter},'open_air'))","","","","","",NA,""
"365","select_one floor_material","floor_material","What is the primary floor material?","Waa maxay nooca sagxada?","true","","","","","","",NA,""
"366","text","floor_material_other","if other, please specify","Wax kale, fadlan qeex","true","selected(${floor_material},'other')","","","","","",NA,""
"367","select_one structural_material","structural_material","What is the primary structural material?","Waa maxay nooca alaabta dhista?","true","","","","","","",NA,""
"368","text","structural_material_other","if other, please specify","Wax kale, fadlan qeex","true","selected(${structural_material},'other')","","","","","",NA,""
"369","select_one covering_material","covering_material","What is the primary wall/ roof covering?","Waa maxay nooca darbiga/ daboolka saqafka?","true","","","","","","",NA,""
"370","text","covering_material_other","if other, please specify","Wax kale, fadlan qeex","true","selected(${covering_material},'other')","","","","","",NA,""
"371","select_one yes_no","internal_separation","Is there internal separation of rooms within the shelter?","Ma jiraa kala asturnaasho gudaha guriga?","true","","","","","","",NA,""
"372","select_one internal_separation","internal_separation_type","What type of internal separation","Waa noocee kala asturnaashaha ka jira gudaha guriga?","true","selected(${internal_separation},'yes')","","","","","",NA,""
"373","text","internal_separation_type_other","if other, please specify","Wax kale, fadlan qeex","true","selected(${internal_separation_type},'other')","","","","","",NA,""
"374","select_one yes_no","light_night","Is there a source of light at night?","Guriga ma leeyahay iftiin habeenkii?","true","","","","","","",NA,""
"375","select_one yes_no","shelter_lock","Can you lock your shelter from the inside?","Aqalkaaga gudaha maka xeran kartaa?","true","","","","","","",NA,""
"376","end_group","","","","","","","","","","",NA,""
"377","begin_group","nfis","NFIs","","","","","","","","",NA,""
"378","select_multiple nfis","nfis_good","What non-food items does the household have in good condition? (Direct observation.)","Qoyska ma leeyahay agabka aan cuntada aheyn oo xaaladiisu aad u wanaagsan? (indhaha ku fiiri)","true","","","not(selected(.,'none') and (selected(.,'cooking_pot') or selected(.,'knives') or selected(.,'wash_basin') or selected(.,'mats') or selected(.,'blankets') or selected(.,'plastic_sheet') or selected(.,'jerry_can') or selected(.,'mosq_net')))","Cannot select none and any other option","","",NA,""
"379","select_multiple nfis","nfis_poor","What non-food items does the household have in poor but usable condition? (Direct observation.)","Qoyska ma leeyahay agabka aan cuntada aheyn oo xaaladiisu aan wanaagsaneyn? (indhaha ku fiiri)","true","","","not(selected(.,'none') and (selected(.,'cooking_pot') or selected(.,'knives') or selected(.,'wash_basin') or selected(.,'mats') or selected(.,'blankets') or selected(.,'plastic_sheet') or selected(.,'jerry_can') or selected(.,'mosq_net')))","Cannot select none and any other option","","",NA,""
"380","begin_group","jerry_cans","Jerry cans","Jirgaano","","selected(${nfis_good},'jerry_can') or selected(${nfis_poor},'jerry_can')","field-list","","","","",NA,""
"381","integer","jerry_cans_good","How many jerry cans (good condition) are used by the household","Meeqo jiriggaan oo fiican ayuu qoyska isticmaalaa?","true","selected(${nfis_good},'jerry_can')","",".<100 and .>=1","less than 100","","",NA,""
"382","integer","jerry_cans_poor","How many jerry cans (poor condition) are used by the household","Meeqo jiriggaan oo aan fiicnayn ayuu qoyska isticmaalaa?","true","selected(${nfis_poor},'jerry_can')","",".<100 and .>=1","less than 100","","",NA,""
"383","integer","jerry_cans_capacity","What is the total capacity of all usable jerry cans, in litres?","Sheeg baaxada guud ee jiriggaanada la isticmaali karo, litar ahaan?","true","","","if(selected(${nfis_good},'jerry_can') and selected(${nfis_poor},'jerry_can'),.<=(${jerry_cans_good}+${jerry_cans_poor})*20 and .>=(${jerry_cans_good}+${jerry_cans_poor})*3,if(selected(${nfis_good},'jerry_can'),.<=${jerry_cans_good}*20 and .>=${jerry_cans_good}*3,.<=${jerry_cans_poor}*20 and .>=${jerry_cans_poor}*3))","Cannot be greater than number of jerry cans X 20L, and cannot be lower than numer of jerry cans X 3L","","",NA,""
"384","end_group","","","","","","","","","","",NA,""
"385","begin_group","mats","Mats","Saliyo/derimo","","selected(${nfis_good},'mats') or selected(${nfis_poor},'mats')","field-list","","","","",NA,""
"386","integer","mats_good","How many sleeping mats (good condition) are used by the household","Meeqo derin/salli oo fiican ayuu qoyska isticmaalaa?","true","selected(${nfis_good},'mats')","",".<100 and .>=1","less than 100","","",NA,""
"387","integer","mats_poor","How many sleeping mats (poor condition) are used by the household","Meeqo derin/salli oo aan fiicnayn ayuu qoyska isticmaalaa?","true","selected(${nfis_poor},'mats')","",".<100 and .>=1","less than 100","","",NA,""
"388","integer","mats_capacity","What is the total capacity of all usable mats, in number of people that can sleep on them?","Sheeg baaxada guud ee derimaha/saliyada la isticmaali karo, tiro ahaan inta dad ku seexan karto?","true","","","if(selected(${nfis_good},'mats') and selected(${nfis_poor},'mats'),.<=(${mats_good}+${mats_poor})*4 and .>=(${mats_good}+${mats_poor})*1,if(selected(${nfis_good},'mats'),.<=${mats_good}*4 and .>=${mats_good}*1,.<=${mats_poor}*4 and .>=${mats_poor}*1))","Cannot be greater than 4 persons per mat, or less than 1 person per mat","","",NA,""
"389","end_group","","","","","","","","","","",NA,""
"390","begin_group","blankets","Blankets","Bustayaal","","selected(${nfis_good},'blankets') or selected(${nfis_poor},'blankets')","field-list","","","","",NA,""
"391","integer","blankets_good","How many blankets (good condition) are used by the household","Meeqo busto/kubeerto oo xaaladoodu fiican tahay ayuu qoyska isticmaalaa?","true","selected(${nfis_good},'blankets')","",".<100 and .>=1","less than 100","","",NA,""
"392","integer","blankets_poor","How many blankets (poor condition) are used by the household","Meeqo busto/kubeerto oo aan xaaladoodu fiicnayn ayuu qoyska isticmaalaa?","true","selected(${nfis_poor},'blankets')","",".<100 and .>=1","less than 100","","",NA,""
"393","integer","blankets_capacity","What is the total capacity of all usable blankets, in number of people that can sleep on them?","Sheeg baaxada guud ee bustayaasha la isticmaali karo, tiro ahaan inta dad ku seexan karto?","true","","","if(selected(${nfis_good},'blankets') and selected(${nfis_poor},'blankets'),.<=(${blankets_good}+${blankets_poor})*4 and .>=(${blankets_good}+${blankets_poor})*1,if(selected(${nfis_good},'blankets'),.<=${blankets_good}*4 and .>=${blankets_good}*1,.<=${blankets_poor}*4 and .>=${blankets_poor}*1))","Cannot be greater than 4 persons per blanket, or less than 1 person per blanket","","",NA,""
"394","end_group","","","","","","","","","","",NA,""
"395","end_group","","","","","","","","","","",NA,""
"396","end_group","","","","","","","","","","",NA,""
"397","begin_group","J","Education","","","","","","","","",NA,""
"398","begin_group","attend_education","Attending education","Waxbarasho dhigta","","","field-list","","","","",NA,""
"399","integer","attend_boys_5_12","How many boys in the household aged 5-12 attend education regularly?","Immisa wiilal oo qoyska ka tirsan oo ay da'doodu  u dhexeyso 5 - 12 jir ayaa wax barata?","true","${males_5_12}>0","",".<=${males_5_12} and .>=0","Cannot exceed total in household","","",NA,""
"400","integer","attend_girls_5_12","How many girls in the household aged 5-12 attend education regularly?","Immisa gabdho oo qoyska ka tirsan oo ay da'doodu u dhexeyso 5 - 12 jir ayaa wax barata?","true","${females_5_12}>0","",".<=${females_5_12} and .>=0","Cannot exceed total in household","","",NA,""
"401","integer","attend_boys_13_17","How many boys in the household aged 13-17 attend education regularly?","Immisa wiilal oo qoyska ka tirsan oo ay da'doodu  u dhexeyso 13 - 17 jir ayaa wax barata?","true","${males_13_15} + ${males_16_17} >0","","(.<=${males_13_15}+${males_16_17}) and .>=0","Cannot exceed total in household","","",NA,""
"402","integer","attend_girls_13_17","How many girls in the household aged 13-17 attend education regularly?","Immisa gabdho oo qoyska ka tirsan oo ay da'doodu u dhexeyso 13 - 17 jir ayaa wax barata?","true","${females_13_15} + ${females_16_17} >0","","(.<=${females_13_15}+${females_16_17}) and .>=0","Cannot exceed total in household","","",NA,""
"403","calculate","boys_attend","Total Boys in the household that attend school","","","","","","","","${attend_boys_5_12}+${attend_boys_13_17}",NA,""
"404","calculate","girls_attend","Total Girls in the household that attend school","","","","","","","","${attend_girls_5_12}+${attend_girls_13_17}",NA,""
"405","calculate","attend_total","Total Children in the household that attend school","","","","","","","","${boys_attend}+${girls_attend}",NA,""
"406","calculate","not_attending","Total Children in the household that DO NOT attend school","","","","","","","","${school_age_total}-${attend_total}",NA,""
"407","end_group","","","","","","","","","","",NA,""
"408","begin_group","education_types_boys","How many boys attend the following education types?","Imisa wiil ayaa aada waxbarashada soo socota:","","${boys_attend}>0","field-list","","","","",NA,""
"409","integer","boys_primary","Primary ","Hoose/Dhexe","true","${boys_attend}>0","","",". >= 0 and . <= ${boys_attend}","","",NA,""
"410","integer","boys_secondary","Secondary ","Sare ","true","${boys_attend}>0","","",". >= 0 and . <= ${boys_attend}","","",NA,""
"411","integer","boys_vocational","Vocational","Farsamo gacmeed","true","${boys_attend}>0","","",". >= 0 and . <= ${boys_attend}","","",NA,""
"412","integer","boys_basic","Basic literacy & numeracy classes","Xisaabta iyo qorista aasaasiga ah","true","${boys_attend}>0","","",". >= 0 and . <= ${boys_attend}","","",NA,""
"413","end_group","","","","","","","","","","",NA,""
"414","begin_group","education_types_girls","How many girls attend the following education types?","Imisa gabdho ayaa aada waxbarashada soo socota:","","${girls_attend}>0","field-list","","","","",NA,""
"415","integer","girls_primary","Primary ","Hoose ","true","${girls_attend}>0","","",". >= 0 and . <= ${girls_attend}","","",NA,""
"416","integer","girls_secondary","Secondary ","Sare ","true","${girls_attend}>0","","",". >= 0 and . <= ${girls_attend}","","",NA,""
"417","integer","girls_vocational","Vocational","Farsamo gacmeed","true","${girls_attend}>0","","",". >= 0 and . <= ${girls_attend}","","",NA,""
"418","integer","girls_basic","Basic literacy & numeracy classes","Xisaabta iyo qorista aasaasiga ah","true","${girls_attend}>0","","",". >= 0 and . <= ${girls_attend}","","",NA,""
"419","end_group","","","","","","","","","","",NA,""
"420","begin_group","not_attending_school","Not attending school","Aan waxbarasho dhigan","","${not_attending}>0","","","","","",NA,""
"421","select_multiple why_not_attend","why_not_attend_girls","If any girls  in the household do not attend education, what is the reason?","Haddii gabdho ka tirsan qoyska aysan dhigan waxbarasho, waa maxay sababtu?","true","","","not(selected(., ""none"") and count-selected(.) > 1) and not(selected(., ""dontknow"") and count-selected(.) > 1)","","","",NA,""
"422","text","why_not_attend_girls_other","if other, please specify","Wax kale, fadlan qeex","true","selected(${why_not_attend_girls},'other')","","","","","",NA,""
"423","select_multiple why_not_attend","why_not_attend_boys","If any boys  in the household do not attend education, what is the reason?","Haddii wiilal ka tirsan qoyska aysan dhigan waxbarasho, waa maxay sababtu?","true","","","not(selected(., ""none"") and count-selected(.) > 1) and not(selected(., ""dontknow"") and count-selected(.) > 1)","","","",NA,""
"424","text","why_not_attend_boys_other","if other, please specify","Wax kale, fadlan qeex","true","selected(${why_not_attend_boys},'other')","","","","","",NA,""
"425","select_one yes_no","attend_previous","Were those children not currently accessing education attending education more than 3 months ago?","Carruurta aan iminka waxbarasha aadin, wax ma baran jireen in ka badan 3 bilood ka hor?","true","","","","","","",NA,""
"426","select_multiple education_types","type_education_previous","What type of education was accessed in the past by those children who do not currently attend?","Caruurta aan hadda waxbarashada aadin laakiin horey u aaday, waxbarasho noocee ayee horey u aadeyn?","true","selected(${attend_previous},'yes')","","not(selected(., ""none"") and count-selected(.) > 1) and not(selected(., ""dontknow"") and count-selected(.) > 1)","","","",NA,""
"427","end_group","not_attending","","","","","","","","","",NA,""
"428","end_group","","","","","","","","","","",NA,""
"429","begin_group","K","Services","","","","","","","","",NA,""
"430","select_multiple priority_needs","priority_needs","What are your household's top 3 priority needs? (select only three)","Sheeg saddexda baahi ugu weyn ee qoyskaaga?","true","","","count-selected(.)<=3","Maximum of 3 selected","","",NA,""
"431","select_one yes_no","received_assistance","In the past 6 months, has your household, or a member within it, received any humanitarian assistance in the current location?","Ma jiraa qof qoyska kamid ah jooga meeshaan oo helay wax kaalmo bani'aadanimo ah, 3-dii bil ee lasoo dhaafay?","true","","","","","","",NA,""
"432","begin group","asst","Assistance","Caawinaad","","selected(${received_assistance},'yes')","","","","","",NA,""
"433","select_multiple assistance_types","asst_type","Which types of assistance were received?","Waa noocee kaalmada ama caawinaada uu helay?","true","","","not(selected(.,'none') and count-selected(.) >1)","cannot select 'none' and any other option","","",NA,""
"434","begin group","asst_values","Assistance values","","","selected(${asst_type},'food_voucher') or selected(${asst_type},'food_cash') or selected(${asst_type},'shelter_cash') or selected(${asst_type},'uncond_cash') or selected(${asst_type},'livelihood_cash') or selected(${asst_type},'water_voucher') or selected(${asst_type},'iycf_voucher_cash') or selected(${asst_type},'breastfeeding_voucher_cash')","field-list","","","","",NA,""
"435","note","note_asst_values","What was the value of the received assistance in USD? (total, enter 999 if unknown/ don't remember)","Guud ahaan, sheeg qiimaha (Dollar ahaan) ay la egtahay caawinaada uu helay qofka (haddii aan la sheegi karin ama uusan xasuusanin, fadlan qor 999)","","","","","","","",NA,""
"436","integer","val_food_voucher","Food voucher","Kaarka cuntada lagu iibsado","true","selected(${asst_type},'food_voucher')","",".>0 and .<=9999","Must be more than 0 and less than 10K","","",NA,""
"437","integer","val_food_cash","Food cash","Lacag cunto loogu tala galay","true","selected(${asst_type},'food_cash')","",".>0 and .<=9999","Must be more than 0 and less than 10K","","",NA,""
"438","integer","val_shelter_cash","Cash for shelter","Lacag dhismo ama hooy ku hagaajin loogu tala galay","true","selected(${asst_type},'shelter_cash')","",".>0 and .<=9999","Must be more than 0 and less than 10K","","",NA,""
"439","integer","val_uncond_cash","Unconditional cash","Lacag aan shuruud laheyn","true","selected(${asst_type},'uncond_cash')","",".>0 and .<=9999","Must be more than 0 and less than 10K","","",NA,""
"440","integer","val_livelihood_cash","Livelihood cash","Lacag cadaan ah oo loogu talagalay habnololeedka","true","selected(${asst_type},'livelihood_cash')","",".>0 and .<=9999","Must be more than 0 and less than 10K","","",NA,""
"441","integer","val_water_voucher","Water vouchers","Kaarka biyaha lagu iibsado","true","selected(${asst_type},'water_voucher')","",".>0 and .<=9999","Must be more than 0 and less than 10K","","",NA,""
"442","end group","","","","","","","","","","",NA,""
"443","select_multiple hygiene_items","hygiene_items_received","Which hygiene items did you receive?","Agabka nadaafada noocee heshay?","true","selected(${asst_type},'hygiene_kits')","","","","","",NA,""
"444","select_one y_n_dk","aid_satisfaction","If you have received assistance in the last 6 months were you satisfied with that assisstance?","Haddii aad kaalmo/caawinaad heshay 6 bilood ee lasoo dhaafay, maku qanacsan tahay caawinaadaas?","true","selected(${received_assistance},'yes') ","","","","","",NA,""
